trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled
R1e_T07,,,227,21,WWCC (Walla Walla Community College),,,8.611
R1e_T07,,,246,22,WWCC (Walla Walla Community College),,,8.796
R1e_T07,,,229,23,WWCC (Walla Walla Community College),,,9.178
R1e_T07,,,180,24,WWCC (Walla Walla Community College),,,9.601
R1e_T07,,,153,25,WWCC (Walla Walla Community College),,,9.808
R1e_T07,,,174,26,WWCC (Walla Walla Community College),,,9.994
R1e_T07,09:21:00,09:21:00,173,27,WWCC (Walla Walla Community College),,,10.343
R1e_T07,,,172,28,WWCC (Walla Walla Community College),,,10.618
R1e_T07,,,171,29,WWCC (Walla Walla Community College),,,10.981
R1e_T07,,,234,30,WWCC (Walla Walla Community College),,,11.164
R1e_T07,,,235,31,WWCC (Walla Walla Community College),,,11.243
R1e_T07,,,236,32,WWCC (Walla Walla Community College),,,11.389
R1e_T07,09:23:00,09:28:00,138,33,WWCC (Walla Walla Community College),,,12.02
R1e_T07,,,237,34,WWCC (Walla Walla Community College),,,12.522
R1e_T07,,,1107,35,WWCC (Walla Walla Community College),,,12.615
R1e_T07,09:35:00,09:35:00,239,36,WWCC (Walla Walla Community College),,,14.645
R1e_T08,09:21:00,09:21:00,195,1,Shopko,,,0
R1e_T08,,,404,2,Shopko,,,1.639
R1e_T08,,,193,3,Shopko,,,2.276
R1e_T08,,,1153,4,Shopko,,,2.417
R1e_T08,,,1154,5,Shopko,,,2.617
R1e_T08,,,1155,6,Shopko,,,2.897
R1e_T08,09:27:00,09:27:00,202,7,Shopko,,,3.217
R1e_T08,,,258,8,Shopko,,,3.77
R1e_T08,,,259,9,Shopko,,,3.978
R1e_T08,,,260,10,Shopko,,,4.491
R1e_T08,,,261,11,Shopko,,,5.207
R1e_T08,09:32:00,09:32:00,262,12,Shopko,,,5.459
R1e_T08,,,263,13,Transfer Center,,,5.784
R1e_T08,,,264,14,Transfer Center,,,6.231
R1e_T08,,,1173,15,Transfer Center,,,6.47
R1e_T08,,,1174,16,Transfer Center,,,6.741
R1e_T08,,,1167,17,Transfer Center,,,7.273
R1e_T08,,,1156,18,Transfer Center,,,7.369
R1e_T08,,,351,19,Transfer Center,,,7.819
R1e_T08,09:40:00,09:45:00,148,20,Transfer Center,,,8.19
R1e_T08,,,227,21,WWCC (Walla Walla Community College),,,8.611
R1e_T08,,,246,22,WWCC (Walla Walla Community College),,,8.796
R1e_T08,,,229,23,WWCC (Walla Walla Community College),,,9.178
R1e_T08,,,180,24,WWCC (Walla Walla Community College),,,9.601
R1e_T08,,,153,25,WWCC (Walla Walla Community College),,,9.808
R1e_T08,,,174,26,WWCC (Walla Walla Community College),,,9.994
R1e_T08,09:51:00,09:51:00,173,27,WWCC (Walla Walla Community College),,,10.343
R1e_T08,,,172,28,WWCC (Walla Walla Community College),,,10.618
R1e_T08,,,171,29,WWCC (Walla Walla Community College),,,10.981
R1e_T08,,,234,30,WWCC (Walla Walla Community College),,,11.164
R1e_T08,,,235,31,WWCC (Walla Walla Community College),,,11.243
R1e_T08,,,236,32,WWCC (Walla Walla Community College),,,11.389
R1e_T08,09:53:00,09:58:00,138,33,WWCC (Walla Walla Community College),,,12.02
R1e_T08,,,237,34,WWCC (Walla Walla Community College),,,12.522
R1e_T08,,,1107,35,WWCC (Walla Walla Community College),,,12.615
R1e_T08,10:05:00,10:05:00,239,36,WWCC (Walla Walla Community College),,,14.645
R1e_T09,09:51:00,09:51:00,195,1,Shopko,,,0
R1e_T09,,,404,2,Shopko,,,1.639
R1e_T09,,,193,3,Shopko,,,2.276
R1e_T09,,,1153,4,Shopko,,,2.417
R1e_T09,,,1154,5,Shopko,,,2.617
R1e_T09,,,1155,6,Shopko,,,2.897
R1e_T09,09:57:00,09:57:00,202,7,Shopko,,,3.217
R1e_T09,,,258,8,Shopko,,,3.77
R1e_T09,,,259,9,Shopko,,,3.978
R1e_T09,,,260,10,Shopko,,,4.491
R1e_T09,,,261,11,Shopko,,,5.207
R1e_T09,10:02:00,10:02:00,262,12,Shopko,,,5.459
R1e_T09,,,263,13,Transfer Center,,,5.784
R1e_T09,,,264,14,Transfer Center,,,6.231
R1e_T09,,,1173,15,Transfer Center,,,6.47
R1e_T09,,,1174,16,Transfer Center,,,6.741
R1e_T09,,,1167,17,Transfer Center,,,7.273
R1e_T09,,,1156,18,Transfer Center,,,7.369
R1e_T09,,,351,19,Transfer Center,,,7.819
R1e_T09,10:10:00,10:15:00,148,20,Transfer Center,,,8.19
R1e_T09,,,227,21,WWCC (Walla Walla Community College),,,8.611
R1e_T09,,,246,22,WWCC (Walla Walla Community College),,,8.796
R1e_T09,,,229,23,WWCC (Walla Walla Community College),,,9.178
R1e_T09,,,180,24,WWCC (Walla Walla Community College),,,9.601
