trip_id,stop_sequence,stop_id,arrival_time,departure_time,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
A3,15,qk1j,11:10:00,11:10:00,,0,0,,,75624.25541322352,
A3,16,97t9,11:18:00,11:18:00,,0,0,,,78197.23181055477,
A3,17,8g7r,11:25:00,11:25:00,,0,0,,,80980.82295606672,
A5,0,8g7r,13:25:00,13:25:00,,0,0,,,0,
A5,1,xe87,13:36:00,13:36:00,,0,0,,,2800.1599986012957,
A5,2,z32m,13:45:00,13:45:00,,0,0,,,12123.63133432831,
A5,3,fwsa,13:53:00,13:53:00,,0,0,,,23944.798034231047,
A5,4,f42j,13:59:00,13:59:00,,0,0,,,26416.216439382646,
A5,5,0ebt,14:04:00,14:04:00,,0,0,,,29252.6740755107,
A5,6,3ahw,14:09:00,14:09:00,,0,0,,,31522.048029407888,
A5,7,grhv,14:15:00,14:15:00,,0,0,1,1,32753.246532050445,
A5,8,4xc1,14:35:00,14:35:00,,0,0,,,42089.07320392839,
A5,9,ospq,14:48:00,14:48:00,,0,0,,,53715.205386531445,
A5,10,ej0z,14:53:00,14:53:00,,0,0,,,58098.6198037648,
A5,11,u9g0,14:57:00,14:57:00,,0,0,,,61273.68092338422,
A5,12,rvmu,14:59:00,14:59:00,,0,0,1,1,64431.26902947923,
A5,13,yn9h,15:02:00,15:02:00,,0,0,,,66392.51659182744,
A5,14,a1vl,15:05:00,15:05:00,,0,0,1,1,67918.24117715143,
A5,15,qk1j,15:10:00,15:10:00,,0,0,,,75624.25541322352,
A5,16,97t9,15:18:00,15:18:00,,0,0,,,78197.23181055477,
A5,17,8g7r,15:25:00,15:25:00,,0,0,,,80980.82295606672,
A6,0,8g7r,15:25:00,15:25:00,,0,0,,,0,
A6,1,xe87,15:36:00,15:36:00,,0,0,,,2800.1599986012957,
A6,2,z32m,15:45:00,15:45:00,,0,0,,,12123.63133432831,
A6,3,fwsa,15:53:00,15:53:00,,0,0,,,23944.798034231047,
A6,4,f42j,15:59:00,15:59:00,,0,0,,,26416.216439382646,
A6,5,0ebt,16:04:00,16:04:00,,0,0,,,29252.6740755107,
A6,6,3ahw,16:09:00,16:09:00,,0,0,,,31522.048029407888,
A6,7,grhv,16:15:00,16:15:00,,0,0,1,1,32753.246532050445,
A6,8,4xc1,16:35:00,16:35:00,,0,0,,,42089.07320392839,
A6,9,ospq,16:48:00,16:48:00,,0,0,,,53715.205386531445,
A6,10,ej0z,16:53:00,16:53:00,,0,0,,,58098.6198037648,
A6,11,u9g0,16:57:00,16:57:00,,0,0,,,61273.68092338422,
