route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
31,UM2223-UMTS-Weekday-63,3864529-UM2223-UMTS-Weekday-63,"Sunderland",0,409728,310817,1,1
31,UM2223-UMTS-Weekday-63,3864530-UM2223-UMTS-Weekday-63,"Sunderland",0,409728,310817,1,1
31,UM2223-UMTS-Weekday-63,3864531-UM2223-UMTS-Weekday-63,"Sunderland",0,409728,310817,1,1
31,UM2223-UMTS-Weekday-63,3864532-UM2223-UMTS-Weekday-63,"Sunderland - No Crestview",0,409728,310818,1,1
31,UM2223-UMTS-Weekday-63,3864533-UM2223-UMTS-Weekday-63,"Sunderland - No Crestview",0,409728,310818,1,1
31,UM2223-UMTS-Weekday-63,3864534-UM2223-UMTS-Weekday-63,"Whately Park & Ride via Sunderland - No Crestview",0,409728,310818,1,1
46,UM2223-UMTS-Weekday-63,3864535-UM2223-UMTS-Weekday-63,"Park & Ride via S Deerfield",0,409728,460129,1,1
31,UM2223-UMTS-Weekday-63,3864536-UM2223-UMTS-Weekday-63,"South Amherst",1,409728,310819,1,1
31,UM2223-UMTS-Weekday-63,3864537-UM2223-UMTS-Weekday-63,"South Amherst",1,409728,310819,1,1
31,UM2223-UMTS-Weekday-63,3864538-UM2223-UMTS-Weekday-63,"South Amherst",1,409728,310819,1,1
31,UM2223-UMTS-Weekday-63,3864539-UM2223-UMTS-Weekday-63,"South Amherst",1,409728,310819,1,1
31,UM2223-UMTS-Weekday-63,3864540-UM2223-UMTS-Weekday-63,"South Amherst",1,409728,310819,1,1
31,UM2223-UMTS-Weekday-63,3864541-UM2223-UMTS-Weekday-63,"South Amherst",1,409728,310819,1,1
31,UM2223-UMTS-Weekday-63,3864542-UM2223-UMTS-Weekday-63,"South Amherst",1,409728,310819,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864543-UM2223-UMTS-Weekday-63-1110000,"Sunderland",0,409729,310817,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864544-UM2223-UMTS-Weekday-63-1110000,"Sunderland",0,409729,310817,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864545-UM2223-UMTS-Weekday-63-1110000,"Sunderland",0,409729,310817,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864546-UM2223-UMTS-Weekday-63-1110000,"Sunderland",0,409729,310817,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864547-UM2223-UMTS-Weekday-63-1110000,"Sunderland",0,409729,310817,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864548-UM2223-UMTS-Weekday-63-1110000,"Sunderland - No Crestview",0,409729,310818,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864549-UM2223-UMTS-Weekday-63-1110000,"Sunderland - No Crestview",0,409729,310818,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864550-UM2223-UMTS-Weekday-63-1110000,"Sunderland - No Crestview",0,409729,310818,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864551-UM2223-UMTS-Weekday-63-1110000,"Sunderland",0,409729,310817,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864552-UM2223-UMTS-Weekday-63-1110000,"Sunderland",0,409729,310817,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864553-UM2223-UMTS-Weekday-63-1110000,"Sunderland",0,409729,310817,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864554-UM2223-UMTS-Weekday-63-1110000,"Sunderland",0,409729,310817,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864555-UM2223-UMTS-Weekday-63-1110000,"Sunderland",0,409729,310817,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864556-UM2223-UMTS-Weekday-63-1110000,"South Amherst",1,409729,310819,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864557-UM2223-UMTS-Weekday-63-1110000,"South Amherst",1,409729,310819,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864558-UM2223-UMTS-Weekday-63-1110000,"South Amherst",1,409729,310819,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864559-UM2223-UMTS-Weekday-63-1110000,"South Amherst",1,409729,310819,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864560-UM2223-UMTS-Weekday-63-1110000,"South Amherst",1,409729,310819,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864561-UM2223-UMTS-Weekday-63-1110000,"South Amherst",1,409729,310819,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864562-UM2223-UMTS-Weekday-63-1110000,"South Amherst",1,409729,310819,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864563-UM2223-UMTS-Weekday-63-1110000,"South Amherst",1,409729,310819,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864564-UM2223-UMTS-Weekday-63-1110000,"South Amherst",1,409729,310819,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864565-UM2223-UMTS-Weekday-63-1110000,"South Amherst",1,409729,310819,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864566-UM2223-UMTS-Weekday-63-1110000,"South Amherst",1,409729,310819,1,1
31,UM2223-UMTS-Weekday-63-1110000,3864567-UM2223-UMTS-Weekday-63-1110000,"South Amherst",1,409729,310819,1,1
31,UM2223-UMTS-Weekday-63-0001100,3864568-UM2223-UMTS-Weekday-63-0001100,"South Amherst",1,409739,310819,1,1
31,UM2223-UMTS-Weekday-63-0001100,3864569-UM2223-UMTS-Weekday-63-0001100,"South Amherst - No Fearing Street",1,409739,310822,1,1
31,UM2223-UMTS-Weekday-63-0001100,3864570-UM2223-UMTS-Weekday-63-0001100,"Sunderland",0,409739,310817,1,1
31,UM2223-UMTS-Weekday-63-0001100,3864571-UM2223-UMTS-Weekday-63-0001100,"Sunderland - No Fearing Street",0,409739,310820,1,1
31,UM2223-UMTS-Weekday-63-0001100,3864572-UM2223-UMTS-Weekday-63-0001100,"Sunderland",0,409739,310817,1,1
31,UM2223-UMTS-Weekday-63-0001100,3864573-UM2223-UMTS-Weekday-63-0001100,"Sunderland - No Fearing Street",0,409739,310820,1,1
31,UM2223-UMTS-Weekday-63-0001100,3864574-UM2223-UMTS-Weekday-63-0001100,"South Amherst",1,409739,310819,1,1
31,UM2223-UMTS-Weekday-63-0001100,3864575-UM2223-UMTS-Weekday-63-0001100,"South Amherst",1,409739,310819,1,1
31,UM2223-UMTS-Weekday-63-0001100,3864576-UM2223-UMTS-Weekday-63-0001100,"South Amherst",1,409739,310819,1,1
31,UM2223-UMTS-Weekday-63-0001100,3864577-UM2223-UMTS-Weekday-63-0001100,"South Amherst",1,409739,310819,1,1
