shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
c9eef1c8-22de-4026-ac33-b9c516c7c7e2,42.2980832933237,-71.4326108355886,88,23620.58
d6f790bc-3e94-49be-a988-a597ddef9cf0,42.2775161133716,-71.416738862797,67,17908.25
a7dc8aea-c0f1-42e9-a643-7c8a13b73c85,42.2803552317831,-71.3340731760307,82,19950.74
a109327d-cbec-46e6-a60a-61463d171af5,42.3292827504446,-71.5386586808359,48,17694.2
371129da-ba0e-40d0-b030-3ad21c7f910f,42.3024190844547,-71.3791557478401,67,20613.96
6982acd3-03ac-4eea-b383-10dfd23b784d,42.278688238781,-71.4094660526196,8,1134.15
dc60efb1-9f3a-46fd-ac63-3636ea2ac18c,42.2776073084836,-71.416738862797,19,1910.24
936ebd5a-1236-4f9f-8988-2fcc7255bb8b,42.2813235092952,-71.3960791466283,3,1536.35
ef401cd6-8497-4dd9-be52-aab4dea1216b,42.295010822714,-71.4883404367173,22,11115.92
3c2380cd-bd75-4eb9-bc86-50d8ee2495e7,42.2758746013567,-71.411843831053,0,0
3515c50a-bf0a-4e5e-b913-a9ad9beeac86,42.30080555,-71.43608808,14,3574.15
c9eef1c8-22de-4026-ac33-b9c516c7c7e2,42.2795773911224,-71.4188698779863,98,26508.73
9c274123-cd90-4982-99b6-992e666e2299,42.3459915724988,-71.5529481502144,76,25470.66
dc60efb1-9f3a-46fd-ac63-3636ea2ac18c,42.2770842776945,-71.4175287733989,17,1789.98
433abc51-ab76-48a7-9202-a960bc37a2d7,42.2776341305753,-71.4092662280361,78,31352.9
1f102e1d-337c-472b-ba5f-3437712873c4,42.3542943509993,-71.6119138367125,1,102.24
df78a3d9-c161-42eb-8ed2-01b46f8540a3,42.1909853631845,-71.4379122220226,33,11473.61
936ebd5a-1236-4f9f-8988-2fcc7255bb8b,42.2854500881106,-71.3477564661358,8,5873.27
ef401cd6-8497-4dd9-be52-aab4dea1216b,42.3054996016919,-71.5295968371389,9,5463.8
8a9da81a-4ee3-49f1-b6ad-12c629d12294,42.3454175797354,-71.5503034919681,2,287.06
3515c50a-bf0a-4e5e-b913-a9ad9beeac86,42.3085506146282,-71.4353453478423,22,5814.53
1f102e1d-337c-472b-ba5f-3437712873c4,42.3516376228117,-71.4875853948346,75,21189.96
dc60efb1-9f3a-46fd-ac63-3636ea2ac18c,42.2780471907882,-71.4178104053623,15,1658.54
4bca1469-3d03-44c9-9b3d-3e4c6843aa2b,42.3395207428647,-71.5615701116067,24,5886.34
4bca1469-3d03-44c9-9b3d-3e4c6843aa2b,42.3415981138705,-71.560132447489,23,5627.05
ef401cd6-8497-4dd9-be52-aab4dea1216b,42.294542777213,-71.4875076107685,16,9630.11
ef401cd6-8497-4dd9-be52-aab4dea1216b,42.29773,-71.43723,42,18373.54
