timetable_id,stop_id,stop_sequence,stop_name,connected_routes
5091,807851,9,Council on Aging,/City of Beverly Shuttle
5091,807846,10,Balch St Apartments,/City of Beverly Shuttle
5091,807864,11,North Beverly Plaza - Shaw's,/City of Beverly Shuttle
5091,807838,12,Beverly Hospital,/City of Beverly Shuttle
5091,807849,13,YMCA,/City of Beverly Shuttle
5091,807848,14,Turtle Creek Apartments,/City of Beverly Shuttle
5091,2597091,15,Montserrat Station,/City of Beverly Shuttle
5091,807850,16,Cedar St Apartments,/City of Beverly Shuttle
5091,3460647,17,Beverly Library,/City of Beverly Shuttle
5091,807841,18,Commuter Rail Station - Beverly,"/Beverly Commuter, /City of Beverly Shuttle"
5091,807834,19,Beverly City Hall,/City of Beverly Shuttle
5091,807855,20,Stop & Shop,/City of Beverly Shuttle
5091,807855,21,Stop & Shop,/City of Beverly Shuttle
5091,3460643,22,Trask Ln & Folly Hill,/City of Beverly Shuttle
5091,3460648,23,Market Basket,/City of Beverly Shuttle
5091,807832,24,Bridge St - Variety Store,/City of Beverly Shuttle
5092,798326,1,Rose Baker Senior Center,"/Blackburn Tripper, /Eastern Ave, /Gloucester Crossing/Business Express, /Lanesville, /Magnolia, /Saturday Mall, /School Trippers, /Thatcher Road, Tripper/Essex Ave to GHS, Tripper/Magnolia to GHS, /West Gloucester"
5092,798369,2,Main St & Pleasant St,"/Blackburn Tripper, /Cruiseship Trolley, /Eastern Ave, /Gloucester Crossing/Business Express, /Lanesville, /Magnolia, /Saturday Mall, /School Trippers, /Stage Fort Park Shuttle, /Thatcher Road, Tripper/Magnolia to GHS, /West Gloucester"
5092,807762,3,East Main St & Rocky Neck Ave,"/School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS"
5092,798376,4,Niles Beach,"/Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS"
5092,798305,5,Atlantic St & Moorland Rds,"/Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS"
5092,801986,6,Stop & Shop - CVS,"/Eastern Ave, /Thatcher Road"
5092,798354,7,Good Harbor Beach,/Thatcher Road
5092,801985,8,Cape Hedge Inn,"/Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS"
5092,798325,9,Dock Square,"/Cape Ann Works, /Eastern Ave, /Lanesville, /Rockport Shuttle, /School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS, Tripper/Rockport, Lanesville, Washington St to GHS"
5092,798387,10,Rockport Market,"/Eastern Ave, /Lanesville, /Rockport Shuttle, /School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS, Tripper/Rockport, Lanesville, Washington St to GHS, Tripper/Washington St, Cherry St to GHS"
5093,798387,1,Rockport Market,"/Eastern Ave, /Lanesville, /Rockport Shuttle, /School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS, Tripper/Rockport, Lanesville, Washington St to GHS, Tripper/Washington St, Cherry St to GHS"
5093,798314,2,Cape Hedge Inn,"/Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS"
5093,815374,3,Good Harbor Beach,/Thatcher Road
5093,801986,4,Stop & Shop - CVS,"/Eastern Ave, /Thatcher Road"
5093,807764,5,Atlantic St & Moorland Rds,"/School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS"
5093,807765,6,Niles Beach,"/School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS"
5093,798331,7,East Main St & Rocky Neck Ave,"/School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS"
5093,798326,8,Rose Baker Senior Center,"/Blackburn Tripper, /Eastern Ave, /Gloucester Crossing/Business Express, /Lanesville, /Magnolia, /Saturday Mall, /School Trippers, /Thatcher Road, Tripper/Essex Ave to GHS, Tripper/Magnolia to GHS, /West Gloucester"
5094,798387,1,Rockport Market,"/Eastern Ave, /Lanesville, /Rockport Shuttle, /School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS, Tripper/Rockport, Lanesville, Washington St to GHS, Tripper/Washington St, Cherry St to GHS"
5094,798314,2,Cape Hedge Inn,"/Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS"
5094,815374,3,Good Harbor Beach,/Thatcher Road
5094,801986,4,Stop & Shop - CVS,"/Eastern Ave, /Thatcher Road"
5094,807764,5,Atlantic St & Moorland Rds,"/School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS"
5094,807765,6,Niles Beach,"/School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS"
5094,798331,7,East Main St & Rocky Neck Ave,"/School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS"
5094,798326,8,Rose Baker Senior Center,"/Blackburn Tripper, /Eastern Ave, /Gloucester Crossing/Business Express, /Lanesville, /Magnolia, /Saturday Mall, /School Trippers, /Thatcher Road, Tripper/Essex Ave to GHS, Tripper/Magnolia to GHS, /West Gloucester"
5095,798326,1,Rose Baker Senior Center,"/Blackburn Tripper, /Eastern Ave, /Gloucester Crossing/Business Express, /Lanesville, /Magnolia, /Saturday Mall, /School Trippers, /Thatcher Road, Tripper/Essex Ave to GHS, Tripper/Magnolia to GHS, /West Gloucester"
5095,798369,2,Main St & Pleasant St,"/Blackburn Tripper, /Cruiseship Trolley, /Eastern Ave, /Gloucester Crossing/Business Express, /Lanesville, /Magnolia, /Saturday Mall, /School Trippers, /Stage Fort Park Shuttle, /Thatcher Road, Tripper/Magnolia to GHS, /West Gloucester"
5095,807762,3,East Main St & Rocky Neck Ave,"/School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS"
5095,798376,4,Niles Beach,"/Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS"
5095,798305,5,Atlantic St & Moorland Rds,"/Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS"
5095,801986,6,Stop & Shop - CVS,"/Eastern Ave, /Thatcher Road"
5095,798354,7,Good Harbor Beach,/Thatcher Road
5095,801985,8,Cape Hedge Inn,"/Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS"
5095,798325,9,Dock Square,"/Cape Ann Works, /Eastern Ave, /Lanesville, /Rockport Shuttle, /School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS, Tripper/Rockport, Lanesville, Washington St to GHS"
5095,798387,10,Rockport Market,"/Eastern Ave, /Lanesville, /Rockport Shuttle, /School Trippers, /Thatcher Road, Tripper/Back Shore, Rocky Neck to GHS, Tripper/Rockport, Lanesville, Washington St to GHS, Tripper/Washington St, Cherry St to GHS"
5105,798388,1,Train Station - Rockport,"/Beverly Commuter, /Lanesville, /Rockport Shuttle, /School Trippers, Tripper/Rockport, Lanesville, Washington St to GHS"
5105,798353,2,Commuter Rail Station - Gloucester ,"/Beverly Commuter, /Blackburn Tripper, /Gloucester Crossing/Business Express, /Lanesville, /Saturday Mall, /School Trippers, /Stage Fort Park Shuttle, Tripper/Back Shore, Rocky Neck to GHS, Tripper/Downtown Gloucester to GHS, Tripper/Rockport, Lanesville, Washington St to GHS"
5105,807841,3,Commuter Rail Station - Beverly,"/Beverly Commuter, /City of Beverly Shuttle"
5106,807841,1,Commuter Rail Station - Beverly,"/Beverly Commuter, /City of Beverly Shuttle"
5106,798353,2,Commuter Rail Station - Gloucester ,"/Beverly Commuter, /Blackburn Tripper, /Gloucester Crossing/Business Express, /Lanesville, /Saturday Mall, /School Trippers, /Stage Fort Park Shuttle, Tripper/Back Shore, Rocky Neck to GHS, Tripper/Downtown Gloucester to GHS, Tripper/Rockport, Lanesville, Washington St to GHS"
5106,798388,3,Train Station - Rockport,"/Beverly Commuter, /Lanesville, /Rockport Shuttle, /School Trippers, Tripper/Rockport, Lanesville, Washington St to GHS"
