stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone
10326,ALE268E,ALEXANDER RD & 268 ALEXANDER RD,,41.70645,-72.785531,,,,,
10327,ALENACE,ALEXANDER RD & NACHILLY DR,,41.706868,-72.781488,,,,,
10328,ALE100E,ALEXANDER RD & 100 ALEXANDER RD,,41.70718,-72.778486,,,,,
10329,STEALES,STANLEY ST & ALEXANDER RD,,41.707304,-72.775835,,,,,
1033,FOR164W,FOREST ST & 164 FOREST ST,,41.751455,-72.597946,,,,,
10330,STAHUBES,STANLEY ST & HUBER ST,,41.705624,-72.775981,,,,,
10331,STAAWSS,STANLEY ST & A W STANLEY PARK,,41.703765,-72.775668,,,,,
10332,STASTANS,STANLEY ST & STANLEY WOODS CONDO,,41.702773,-72.775354,,,,,
10334,TALLOVS,TALCOTTVILLE RD & OPP LOVELAND HILL RD,,41.860908,-72.48274,,,,,
10335,TUNPLAIW,TUNXIS COM COLLEGE & PLAINVILLE AVE,,41.704873,-72.878795,,,,,
10336,UCOMAINW,UCONN MEDICAL CTR & MAIN RD,,41.730929,-72.790093,,,,,
10338,DEFDODE,DEFCO PARK RD & OPP DODGE AVE,,41.418413,-72.844833,,,,,
1034,FOR128W,FOREST ST & 128 FOREST ST,,41.750583,-72.600565,,,,,
10343,MAIJACKN,UCONN HEALTH BLVD @ POND,,41.734183,-72.793543,,,,,
10345,FAREXCHS,FARMINGTON AVE & EXCHANGE,,41.735488,-72.795613,,,,,
10346,FAR308FS,FARMINGTON AVE & 308-314 FARMINGTON AVE,,41.733112,-72.797612,,,,,
10347,FAR400FS,FARMINGTON AVE & 400 FARMINGTON AVE,,41.730869,-72.799756,,,,,
10348,POQ34PN,POQUONOCK AVE & 34-36 POQUONOCK AVE,,41.853653,-72.645536,,,,,
10349,COLLaQE,COLUMBUS BLVD & LaQUINTA HOTEL,,41.667734,-72.778477,,,,,
1035,FOR78W,FOREST ST & 78 FOREST ST,,41.750041,-72.602214,,,,,
10353,FAR5FARN,FARM SPRINGS RD & 5 FARM SPRING RD,,41.709698,-72.804352,,,,,
10354,FAR4FARS,FARM SPRINGS RD & 4 FARM SPRINGS RD,,41.709475,-72.80457,,,,,
10355,FARRUPCN,FARM SPRINGS RD & UPC FIRE SECURITY,,41.710619,-72.8044,,,,,
10356,FARHARTS,FARM SPRINGS RD & THE HARTFORD INS,,41.710521,-72.804631,,,,,
10357,FAROTISN,FARM SPRINGS RD & OTIS ELEVATOR,,41.708045,-72.803663,,,,,
