stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
40230,,Harrison & Kaiser EastBound,,47.046965,-122.959612,oly,,,,,
40234,,Harrison & Yauger EastBound,,47.0470097759645,-122.950300723314,oly,,,,,
40238,,Harrison at SafewayEastBound,,47.047023,-122.943362,oly,,,,,
40240,,Harrison at Macys EastBound,,47.047035,-122.939304,oly,,,,,
40246,,Harrison & Division EastBound,,47.045896,-122.92514,oly,,,,,
40250,,Capital & 4th,,47.044401,-122.901714,oly,,,,,
40262,,Harrison & Division WestBound,,47.046126,-122.926705,oly,,,,,
40274,,Harrison & Yauger WestBound,,47.0472071620211,-122.950378507375,oly,,,,,
40282,,Evergreen College Pkwy WestBound,,47.0455851021635,-122.973350286483,oly,,,,,
40290,,Summit Lake Grocery WestBound,,47.0411966118798,-123.068515062332,oly,,,,,
40294,,Summit Lake E. WestBound,,47.0345300220107,-123.096517324447,oly,,,,,
40298,,SR 8 & Kennedy Cr WestBound,,47.0328326231002,-123.111298978328,oly,,,,,
40302,,Summit Lake W. WestBound,,47.0487789138137,-123.145176619291,oly,,,,,
40306,,County Line WestBound,,47.0579974020611,-123.195867687463,oly,,,,,
40310,,McCleary Elementary WestBound,,47.049317,-123.263751,oly,,,,,
40322,,Simpson & N 6th WestBound,,47.0556620927733,-123.268924355506,oly,,,,,
40326,,Simpson & N 10th WestBound,,47.055658438062,-123.275249004364,oly,,,,,
40330,,Forestview Trailer Park WestBound,,47.0520913204324,-123.30166876316,ghc,,,,,
40334,,O'Donnell Rd WestBound,,47.0396008738993,-123.333774805068,ghc,,,,,
40338,,Heise Rd WestBound,,47.0304642180883,-123.345136642456,ghc,,,,,
40342,,Elma Fairgrounds WestBound,,47.0132432752707,-123.381024599075,ghc,,,,,
40346,,Elma Gateway 76 WestBound,,47.0088612698876,-123.387853503227,ghc,,,,,
40350,,Rusty Tractor WestBound,,47.006053,-123.392035,ghc,,,,,
40354,,E Main & N A St WestBound,,47.0047057139821,-123.400223851203,ghc,,,,,
40358,,W Main & 2nd WestBound,,47.0045008542735,-123.402310609817,ghc,,,,,
40366,,Elma Mini-Mart WestBound,,47.003474,-123.419575,ghc,,,,,
40370,,El-Monte Ln WestBound,,47.0006815401489,-123.444174528121,ghc,,,,,
40374,,Golf Course WestBound,,47.0034070364631,-123.455718755722,ghc,,,,,
40380,,Satsop School WestBound,,47.002787,-123.481073,ghc,,,,,
40382,,E Satsop Rd WestBound,,47.0023205129879,-123.492352366447,ghc,,,,,
40390,,Barrett Rd WestBound,,46.9949740102176,-123.517211079597,ghc,,,,,
40394,,Winkleman Rd WestBound,,46.9922919923537,-123.527682423591,ghc,,,,,
40398,,Fairbairn Rd WestBound,,46.9911357193928,-123.532993197441,ghc,,,,,
40402,,Camp Creek Rd WestBound,,46.9888340762907,-123.543582558631,ghc,,,,,
40406,,Glenn Rd WestBound,,46.9865762474107,-123.554064631462,ghc,,,,,
40410,,Monte-Brady Rd WestBound,,46.9852039385281,-123.560416102409,ghc,,,,,
40414,,Roup Rd WestBound,,46.9842487907529,-123.564755916595,ghc,,,,,
40418,,Beacon Ave WestBound,,46.9837364439179,-123.567100167274,ghc,,,,,
40422,,Poplar Rd WestBound,,46.9826604995814,-123.572180271148,ghc,,,,,
40426,,Pioneer & S Glenn WestBound,,46.979706,-123.590313,ghc,,,,,
40430,,Pioneer & Academy WestBound,,46.9796521321386,-123.593616485595,ghc,,,,,
40438,,Pioneer & 3rd St WestBound,,46.9795496543539,-123.603873252868,ghc,,,,,
40442,,Pioneer & 7th WestBound,,46.978221085295,-123.60994040966,ghc,,,,,
40450,,SR 12 & Clemons Rd Westbound,,46.976529,-123.655522,ghc,,,,,
40454,,SR 12 & Hill Rd WestBound,,46.9738545087237,-123.691924810409,ghc,,,,,
40458,,Sr 12 & Reynvaan Dr WestBound,,46.9731297615989,-123.701634407043,ghc,,,,,
40462,,Central Park 7-Eleven WestBound,,46.9722366253698,-123.713806271553,ghc,,,,,
40466,,SR 12 & Karjala Rd WestBound,,46.9719511114619,-123.717963695526,ghc,,,,,
45115,,Oakville - Post Office EastBound,,46.8408053469881,-123.234189748764,oly,,,,,
45116,,Oakville - Post Office WestBound,,46.8409521232237,-123.234286308288,oly,,,,,
